year,month,day
2005,3,6
2005,3,7
2005,3,8
2005,3,9
2005,3,10
2005,3,11
2005,3,12
2005,6,20
2005,6,21
2005,6,22
2005,6,23
2005,6,24
2005,6,25
2005,6,26
2005,9,10
2005,9,11
2005,9,12
2005,9,13
2005,9,14
2005,9,15
2005,9,16
2005,12,25
2005,12,26
2005,12,27
2005,12,28
2005,12,29
2005,12,30
2005,12,31
2006,2,13
2006,2,14
2006,2,15
2006,2,16
2006,2,17
2006,2,18
2006,2,19
2006,5,25
2006,5,26
2006,5,27
2006,5,28
2006,5,29
2006,5,30
2006,5,31
2006,8,2
2006,8,3
2006,8,4
2006,8,5
2006,8,6
2006,8,7
2006,8,8
2006,11,22
2006,11,23
2006,11,24
2006,11,25
2006,11,26
2006,11,27
2006,11,28
2008,7,1
2008,7,2
2008,7,3
2008,7,4
2008,7,5
2008,7,6
2008,7,7
